"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"p6800_num",1,4017961219160125,4017961219160125,861.89669009076,4.6881049647996e-188
"p6850_num",1,28673464267669.2,28673464267669.2,6.15077214481072,0.0131383223200132
"rama2d_r4",87,45547838303280416,523538371302074,112.30471494075,0
"Residuals",57346,267333668551033920,4661766619311.44,NA,NA
