"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"p6800",1,1275.62970758731,1275.62970758731,706.162750688667,2.94066035782394e-154
"p6850",1,53.1884356814238,53.1884356814238,29.4440399296287,5.78861177189113e-08
"rama2d_r4",56,5132.2078321646,91.6465684315108,50.7336827214359,0
"Residuals",40266,72737.4897013739,1.80642451947981,NA,NA
